Wall time,Step,Value
1671330381.762532,0,0.01760479062795639
1671330447.479065,1,0.05353293567895889
1671330513.62684,2,0.09736526757478714
1671330579.925975,3,0.17257484793663025
1671330645.188908,4,0.22347305715084076
1671330712.835397,5,0.2782036066055298
1671330779.954905,6,0.3353293538093567
1671330846.751647,7,0.3746107816696167
1671330910.445825,8,0.366586834192276
1671330977.361761,9,0.4645509123802185
1671331044.385512,10,0.49137723445892334
1671331111.275305,11,0.518203616142273
1671331176.439908,12,0.5577245354652405
1671331242.652961,13,0.5907784700393677
1671331308.769551,14,0.6131736636161804
1671331375.295547,15,0.6282634735107422
1671331440.766376,16,0.649341344833374
1671331507.213578,17,0.6622754335403442
1671331571.763256,18,0.6977245211601257
1671331632.394059,19,0.6997604966163635
1671331695.636844,20,0.7126945853233337
1671331759.76641,21,0.7041916251182556
1671331826.025299,22,0.7237125635147095
1671331891.660929,23,0.7698203325271606
1671331957.386706,24,0.7759281396865845
1671332022.97614,25,0.7717365026473999
1671332089.076769,26,0.7835928201675415
1671332155.198873,27,0.5553293228149414
1671332221.270532,28,0.09676646441221237
1671332283.665569,29,0.17497006058692932
1671332346.003837,30,0.2876646816730499
1671332408.978499,31,0.34059879183769226
1671332471.469716,32,0.4183233678340912
1671332533.722337,33,0.2985628843307495
1671332596.170225,34,0.45772454142570496
1671332656.981325,35,0.5188024044036865
1671332719.427526,36,0.5700598955154419
1671332779.099624,37,0.593173623085022
1671332839.796311,38,0.6058682799339294
1671332900.977613,39,0.6349700689315796
1671332959.668874,40,0.6652694344520569
1671333018.04526,41,0.6770060062408447
1671333077.353379,42,0.6925748586654663
1671333136.401184,43,0.7061077952384949
1671333194.936443,44,0.6956886053085327
1671333254.854872,45,0.7320958375930786
1671333312.835754,46,0.7215569019317627
1671333373.076437,47,0.7469460964202881
1671333433.158544,48,0.7413173913955688
1671333492.992542,49,0.7576047778129578
1671333551.550981,50,0.7755688428878784
1671333612.503008,51,0.7576047778129578
1671333671.006268,52,0.7813173532485962
1671333729.185647,53,0.789101779460907
1671333787.532536,54,0.6350898146629333
1671333845.711066,55,0.7758083939552307
1671333905.549597,56,0.8085029721260071
1671333964.653122,57,0.8205987811088562
1671334026.010221,58,0.8125748634338379
1671334086.630983,59,0.8231137990951538
1671334147.243406,60,0.8166466951370239
1671334207.627979,61,0.8338922262191772
1671334268.801889,62,0.8205987811088562
1671334327.926751,63,0.800359308719635
1671334387.117778,64,0.846946120262146
1671334446.142524,65,0.8501796126365662
1671334505.205919,66,0.8051496744155884
1671334564.09368,67,0.7608383297920227
1671334622.99245,68,0.8241916298866272
1671334682.001439,69,0.8584431409835815
1671334740.654322,70,0.8623952269554138
1671334799.129079,71,0.8364071846008301
1671334858.019333,72,0.8279041647911072
1671334916.958929,73,0.8706586956977844
1671334975.935447,74,0.8699401021003723
1671335036.895698,75,0.8582035899162292
1671335096.057383,76,0.8719760775566101
1671335154.843008,77,0.8649101853370667
1671335213.676027,78,0.8772454857826233
1671335272.459865,79,0.8790419101715088
1671335331.136105,80,0.8790419101715088
1671335390.075653,81,0.8685029745101929
1671335449.043488,82,0.8782035708427429
1671335507.903818,83,0.890299379825592
1671335566.946864,84,0.8797605037689209
1671335625.765813,85,0.8661077618598938
1671335684.659164,86,0.8986826539039612
1671335745.309466,87,0.8989221453666687
1671335804.059492,88,0.8893412947654724
1671335862.881609,89,0.8900598883628845
1671335921.58252,90,0.8794012069702148
1671335980.625667,91,0.8954491019248962
1671336039.64326,92,0.8863472938537598
1671336098.514018,93,0.9189221262931824
1671336157.084378,94,0.9117365479469299
1671336216.214716,95,0.9047904014587402
1671336275.126292,96,0.9117365479469299
1671336334.035614,97,0.8055089712142944
1671336392.69994,98,0.6118562817573547
1671336452.471204,99,0.8501796126365662
1671336512.329458,100,0.9027544856071472
1671336571.438213,101,0.9107784628868103
1671336632.068154,102,0.8992814421653748
1671336691.412821,103,0.9222754240036011
1671336750.745591,104,0.9192814230918884
1671336810.026206,105,0.9353293180465698
1671336869.174415,106,0.9359281659126282
1671336929.053072,107,0.9192814230918884
1671336988.527568,108,0.9326946139335632
1671337047.881914,109,0.8966466784477234
1671337107.540882,110,0.9285029768943787
1671337167.322231,111,0.9160479307174683
1671337226.693186,112,0.9475449323654175
1671337286.122982,113,0.9148502945899963
1671337346.003669,114,0.9268263578414917
1671337406.863742,115,0.923832356929779
1671337467.839743,116,0.945748507976532
1671337527.367009,117,0.9288622736930847
1671337586.969752,118,0.9039521217346191
1671337646.796957,119,0.9420359134674072
